[root@ztg 桌面]# sysctl net.mptcp.mptcp_enabled
net.mptcp.mptcp_enabled = 0
[root@ztg 桌面]# sysctl net.ipv4.tcp_congestion_control
net.ipv4.tcp_congestion_control = cubic
[root@ztg 桌面]# iperf3 -c 112.26.4.9 -f K -b 32K -n 2048KB
Connecting to host 112.26.4.9, port 5201
[  5] local 112.26.4.1 port 44430 connected to 112.26.4.9 port 5201
[  5]  77.00-78.00  sec  0.00 Bytes  0.00 KBytes/sec    4   4.24 KBytes       
[  5]  78.00-79.00  sec  0.00 Bytes  0.00 KBytes/sec    6   5.66 KBytes       
[  5]  79.00-80.00  sec  0.00 Bytes  0.00 KBytes/sec    4   5.66 KBytes       
[  5]  80.00-81.00  sec  0.00 Bytes  0.00 KBytes/sec    3   2.83 KBytes       
[  5]  81.00-82.00  sec  0.00 Bytes  0.00 KBytes/sec    4   1.41 KBytes       
[  5]  82.00-83.00  sec  0.00 Bytes  0.00 KBytes/sec    3   5.66 KBytes       
[  5]  83.00-84.00  sec  0.00 Bytes  0.00 KBytes/sec    2   2.83 KBytes       
[  5]  84.00-85.00  sec  0.00 Bytes  0.00 KBytes/sec    3   5.66 KBytes       
[  5]  85.00-86.00  sec  0.00 Bytes  0.00 KBytes/sec    3   9.90 KBytes       
[  5]  86.00-87.00  sec  0.00 Bytes  0.00 KBytes/sec    5   15.6 KBytes       
[  5]  87.00-88.00  sec  0.00 Bytes  0.00 KBytes/sec    3   21.2 KBytes       
[  5]  88.00-89.00  sec  0.00 Bytes  0.00 KBytes/sec    0   21.2 KBytes       
[  5]  89.00-90.00  sec  0.00 Bytes  0.00 KBytes/sec    0   19.8 KBytes       
[  5]  90.00-91.00  sec   128 KBytes   128 KBytes/sec    0   39.6 KBytes       
[  5]  91.00-92.00  sec  0.00 Bytes  0.00 KBytes/sec    0   43.8 KBytes       
[  5]  92.00-93.00  sec  0.00 Bytes  0.00 KBytes/sec    0   52.3 KBytes       
[  5]  93.00-94.00  sec  0.00 Bytes  0.00 KBytes/sec    1   52.3 KBytes       
[  5]  94.00-95.00  sec  0.00 Bytes  0.00 KBytes/sec    1   48.1 KBytes       
[  5]  95.00-96.00  sec  0.00 Bytes  0.00 KBytes/sec    2   38.2 KBytes       
[  5]  96.00-97.00  sec  0.00 Bytes  0.00 KBytes/sec    3   36.8 KBytes       
[  5]  97.00-98.00  sec  0.00 Bytes  0.00 KBytes/sec    1   36.8 KBytes       
[  5]  98.00-99.00  sec  0.00 Bytes  0.00 KBytes/sec    0    936 Bytes       
[  5]  99.00-100.00 sec  0.00 Bytes  0.00 KBytes/sec    0   36.8 KBytes       
[  5] 100.00-101.00 sec  0.00 Bytes  0.00 KBytes/sec    1   36.8 KBytes       
[  5] 101.00-102.00 sec  0.00 Bytes  0.00 KBytes/sec    1   7.07 KBytes       
[  5] 102.00-103.00 sec  0.00 Bytes  0.00 KBytes/sec    2   9.90 KBytes       
[  5] 103.00-104.00 sec  0.00 Bytes  0.00 KBytes/sec    2   11.3 KBytes       
[  5] 104.00-105.00 sec  0.00 Bytes  0.00 KBytes/sec   10   21.2 KBytes       
[  5] 105.00-106.00 sec  0.00 Bytes  0.00 KBytes/sec    4   14.1 KBytes       
[  5] 106.00-107.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 107.00-108.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 108.00-109.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 109.00-110.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 110.00-111.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 111.00-112.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 112.00-113.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 113.00-114.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 114.00-115.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 115.00-116.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 116.00-117.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 117.00-118.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 118.00-119.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 119.00-120.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 120.00-121.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 121.00-122.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 122.00-123.00 sec  0.00 Bytes  0.00 KBytes/sec    0   14.1 KBytes       
[  5] 123.00-124.00 sec  89.7 KBytes  89.7 KBytes/sec    0    360 Bytes       
[  5] 124.00-125.00 sec  0.00 Bytes  0.00 KBytes/sec    0    360 Bytes       
[  5] 125.00-126.00 sec  0.00 Bytes  0.00 KBytes/sec    0    360 Bytes       
[  5] 126.00-127.00 sec  0.00 Bytes  0.00 KBytes/sec    0    360 Bytes       
[  5] 127.00-128.00 sec  0.00 Bytes  0.00 KBytes/sec    1   1.41 KBytes       
[  5] 128.00-129.00 sec  0.00 Bytes  0.00 KBytes/sec    3   18.4 KBytes       
[  5] 129.00-130.00 sec  0.00 Bytes  0.00 KBytes/sec    0   18.4 KBytes       
[  5] 130.00-131.00 sec  0.00 Bytes  0.00 KBytes/sec    0   25.5 KBytes       
[  5] 131.00-132.00 sec  0.00 Bytes  0.00 KBytes/sec    0   33.9 KBytes       
[  5] 132.00-133.00 sec  0.00 Bytes  0.00 KBytes/sec    0   35.4 KBytes       
[  5] 133.00-134.00 sec  0.00 Bytes  0.00 KBytes/sec    0   39.6 KBytes       
[  5] 134.00-135.00 sec  0.00 Bytes  0.00 KBytes/sec    0   43.8 KBytes       
[  5] 135.00-136.00 sec  0.00 Bytes  0.00 KBytes/sec    0   50.9 KBytes       
[  5] 136.00-137.00 sec  0.00 Bytes  0.00 KBytes/sec    0   56.6 KBytes       
[  5] 137.00-138.00 sec  0.00 Bytes  0.00 KBytes/sec    0   66.5 KBytes       
[  5] 138.00-139.00 sec  0.00 Bytes  0.00 KBytes/sec    0   79.2 KBytes       
[  5] 139.00-140.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 140.00-141.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 141.00-142.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 142.00-143.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 143.00-144.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 144.00-145.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 145.00-146.00 sec  0.00 Bytes  0.00 KBytes/sec    0   86.3 KBytes       
[  5] 146.00-147.00 sec   128 KBytes   127 KBytes/sec    0   2.14 KBytes       
[  5] 147.00-148.00 sec  0.00 Bytes  0.00 KBytes/sec    0   2.18 KBytes       
[  5] 148.00-149.00 sec  0.00 Bytes  0.00 KBytes/sec    0   2.18 KBytes       
[  5] 149.00-150.00 sec  0.00 Bytes  0.00 KBytes/sec    0   90.5 KBytes       
[  5] 150.00-151.00 sec  0.00 Bytes  0.00 KBytes/sec    1   73.5 KBytes       
[  5] 151.00-152.00 sec  0.00 Bytes  0.00 KBytes/sec    0   90.5 KBytes       
[  5] 152.00-153.00 sec  0.00 Bytes  0.00 KBytes/sec    0   90.5 KBytes       
[  5] 153.00-154.00 sec  0.00 Bytes  0.00 KBytes/sec    0   93.3 KBytes       
[  5] 154.00-155.00 sec  0.00 Bytes  0.00 KBytes/sec    0   93.3 KBytes       
[  5] 155.00-156.00 sec  0.00 Bytes  0.00 KBytes/sec    5   67.9 KBytes       
[  5] 156.00-157.00 sec  0.00 Bytes  0.00 KBytes/sec    8   67.9 KBytes       
[  5] 157.00-158.00 sec  0.00 Bytes  0.00 KBytes/sec    0   67.9 KBytes       
[  5] 158.00-159.00 sec  0.00 Bytes  0.00 KBytes/sec    0   67.9 KBytes       
[  5] 159.00-160.00 sec  0.00 Bytes  0.00 KBytes/sec    0   67.9 KBytes       
[  5] 160.00-161.00 sec  0.00 Bytes  0.00 KBytes/sec    0   70.7 KBytes       
[  5] 161.00-162.00 sec  0.00 Bytes  0.00 KBytes/sec    0   77.8 KBytes       
[  5] 162.00-163.00 sec  0.00 Bytes  0.00 KBytes/sec    1   15.6 KBytes       
[  5] 163.00-164.00 sec  0.00 Bytes  0.00 KBytes/sec    0   58.0 KBytes       
^C[  5] 164.00-164.99 sec  0.00 Bytes  0.00 KBytes/sec    0   58.0 KBytes       
